id,newperiod,score,correct,Hispanic,Black,Asian,Other race,Fall,Online,GPA,SAT verbal,SAT math,Female,Age,Parttime,Native Language English?,Sophomore or below,avgcor
240,Pre-Covid,40,1,0,0,0,0,1,0,2.9600000381469727,260,300,0,32,1,0,1,0.7083333333333334
308,Pre-Covid,45,1,0,0,0,0,1,0,3.0199999809265137,NA,NA,1,22,0,0,1,0.6666666666666667
507,Pre-Covid,27.500000000000004,0,0,0,0,0,1,0,NA,490,530,0,21,0,1,1,0.29166666666666663
1095,Pre-Covid,65,1,0,0,0,0,1,0,4,570,580,0,24,0,0,1,0.625
1371,Pre-Covid,47.5,0,0,0,0,0,1,0,NA,610,640,0,19,0,1,1,0.5833333333333334
1666,Pre-Covid,42.5,0,0,0,0,0,1,0,NA,NA,NA,0,24,0,0,1,0.29166666666666663
1715,Pre-Covid,37.5,0,0,0,0,0,1,0,NA,500,650,0,19,0,1,1,0.29166666666666663
1796,Pre-Covid,65,1,0,0,0,0,1,0,NA,NA,NA,0,23,0,1,1,0.7083333333333333
1845,Pre-Covid,57.49999999999999,1,0,0,0,0,1,0,NA,780,800,1,31,1,NA,1,0.5416666666666666
2555,Pre-Covid,45,0,0,0,0,0,1,0,NA,NA,NA,0,18,0,NA,1,0.41666666666666663
172,Pre-Covid,42.5,0,0,0,0,0,1,0,2.819999933242798,600,670,0,23,1,1,0,0.25
609,Pre-Covid,35,0,0,0,0,0,1,0,3.5799999237060547,NA,NA,0,23,1,0,1,0.375
635,Pre-Covid,65,1,0,0,0,0,1,0,4,640,710,0,19,0,NA,1,0.7916666666666666
919,Pre-Covid,37.5,1,0,0,0,0,1,0,3.8499999046325684,590,670,0,19,0,NA,1,0.5
1019,Pre-Covid,45,1,0,0,0,0,1,0,NA,600,600,0,19,0,NA,1,0.8333333333333334
1553,Pre-Covid,50,0,0,0,0,0,1,0,3.2100000381469727,570,660,1,19,0,1,1,0.45833333333333337
1609,Pre-Covid,55.00000000000001,1,0,0,0,0,1,0,3.819999933242798,720,660,1,20,0,0,1,0.7916666666666667
1623,Pre-Covid,80,1,0,0,0,0,1,0,NA,750,640,0,19,0,1,1,0.9583333333333334
316,Pre-Covid,37.5,0,0,0,1,0,1,0,2.690000057220459,NA,NA,0,27,0,0,1,0.3478260869565218
513,Pre-Covid,57.49999999999999,0,0,0,1,0,1,0,4,530,680,1,19,0,NA,1,0.43478260869565216
537,Pre-Covid,62.5,1,0,0,1,0,1,0,4,520,630,0,19,0,NA,1,0.6521739130434783
552,Pre-Covid,32.5,0,0,0,1,0,1,0,3.700000047683716,570,590,1,19,0,NA,1,0.2608695652173913
656,Pre-Covid,70,1,0,0,1,0,1,0,4,520,680,1,21,0,NA,1,0.8260869565217391
673,Pre-Covid,45,1,0,0,1,0,1,0,NA,550,600,0,19,0,0,1,0.6521739130434783
890,Pre-Covid,72.5,1,0,0,1,0,1,0,4,780,620,0,19,0,NA,1,0.9565217391304348
894,Pre-Covid,37.5,1,0,0,1,0,1,0,4,NA,NA,0,19,0,NA,1,0.4782608695652174
947,Pre-Covid,40,0,0,0,1,0,1,0,3.2300000190734863,550,610,0,19,0,NA,1,0.5652173913043478
1304,Pre-Covid,55.00000000000001,1,0,0,1,0,1,0,NA,590,630,1,19,0,0,1,0.5652173913043478
1347,Pre-Covid,55.00000000000001,1,0,0,1,0,1,0,NA,530,650,1,19,0,1,1,0.7391304347826086
1353,Pre-Covid,65,1,0,0,1,0,1,0,NA,640,690,0,19,0,1,1,0.8260869565217391
1383,Pre-Covid,52.5,1,0,0,1,0,1,0,NA,530,650,1,19,0,0,1,0.7391304347826086
1433,Pre-Covid,60,0,0,0,1,0,1,0,NA,680,620,0,19,0,0,1,0.26086956521739124
1442,Pre-Covid,50,1,0,0,1,0,1,0,NA,570,650,1,19,0,1,1,0.7391304347826086
