ID,score,post,female,r_white,r_hispa,r_black,r_asian,r_other,cumgpa,parttime,underclassperson,instructor,session,year,online,lowgpa,gpamiss,q1,q2,q3,q4,age,time
247,77.5,0,0,1,0,0,0,0,4,0,0,Henry,S,2019,0,0,0,0,0,0,1,26.60917091369629,1
252,67.5,0,1,0,0,0,1,0,3.086045744372349,0,0,Placido,S,2019,1,1,1,0,1,0,0,20.692676544189453,1
253,45,0,1,0,1,0,0,0,2.2799999713897705,0,1,Placido,S,2019,1,1,0,1,0,0,0,20.862422943115234,1
261,22.5,0,0,1,0,0,0,0,2.569999933242798,0,1,Placido,S,2019,1,1,0,1,0,0,0,21.357973098754883,1
262,52.5,0,1,0,0,0,1,0,3.086045744372349,0,1,Placido,S,2019,1,1,1,0,1,0,0,21.442848205566406,1
266,42.5,0,0,1,0,0,0,0,2.880000114440918,0,1,Placido,S,2019,1,1,0,1,0,0,0,21.442848205566406,1
267,70,0,1,0,0,0,1,0,3.3299999237060547,0,1,Placido,S,2019,1,1,0,0,1,0,0,21.442848205566406,1
270,45,0,0,0,0,0,1,0,3.086045744372349,0,0,Placido,S,2019,1,1,1,0,1,0,0,22.02874755859375,1
271,47.5,0,1,0,0,0,1,0,3.086045744372349,1,0,Placido,S,2019,1,1,1,0,1,0,0,22.776180267333984,1
272,35,0,1,0,0,0,1,0,3.086045744372349,0,1,Henry,S,2019,0,1,1,0,1,0,0,22.02874755859375,1
278,77.5,0,1,1,0,0,0,0,3.086045744372349,0,0,Henry,S,2019,0,1,1,0,1,0,0,27.02806282043457,1
280,50,0,1,0,0,1,0,0,1.7799999713897705,0,1,Placido,S,2019,1,1,0,1,0,0,0,22.60917091369629,1
285,50,0,1,0,1,0,0,0,3.086045744372349,0,1,Placido,S,2019,1,1,1,0,1,0,0,22.272417068481445,1
288,42.5,0,0,0,0,1,0,0,1.5,0,1,Placido,S,2019,1,1,0,1,0,0,0,21.94387435913086,1
289,42.5,0,0,1,0,0,0,0,3.086045744372349,0,0,Henry,S,2019,0,1,1,0,1,0,0,21.273099899291992,1
292,52.5,0,1,1,0,0,0,0,3.359999895095825,0,1,Placido,S,2019,1,0,0,0,1,0,0,21.691991806030273,1
294,55.00000000000001,0,0,0,0,0,1,0,2.690000057220459,0,0,Placido,S,2019,1,1,0,1,0,0,0,21.861738204956055,1
295,32.5,0,0,1,0,0,0,0,3.1600000858306885,0,1,Henry,S,2019,0,1,0,0,1,0,0,22.110883712768555,1
297,57.49999999999999,0,1,0,1,0,0,0,3,1,1,Placido,S,2019,1,1,0,1,0,0,0,21.524982452392578,1
299,70,0,1,0,1,0,0,0,3.086045744372349,0,0,Henry,S,2019,0,1,1,0,1,0,0,23.110198974609375,1
301,32.5,0,0,0,0,0,1,0,3.086045744372349,0,0,Henry,S,2019,0,1,1,0,1,0,0,21.861738204956055,1
304,40,0,1,0,0,0,1,0,2.359999895095825,0,1,Placido,S,2019,1,1,0,1,0,0,0,22.691307067871094,1
307,32.5,0,1,0,0,0,1,0,2.75,0,0,Placido,S,2019,1,1,0,1,0,0,0,24.197124481201172,1
310,55.00000000000001,0,1,0,1,0,0,0,2.0999999046325684,0,1,Henry,S,2019,0,1,0,1,0,0,0,21.94387435913086,1
318,62.5,0,0,0,1,0,0,0,2.880000114440918,0,0,Green,S,2019,0,1,0,1,0,0,0,19.27446937561035,1
319,30,0,0,0,1,0,0,0,2.930000066757202,0,0,Henry,S,2019,0,1,0,1,0,0,0,18.861053466796875,1
322,77.5,0,1,0,0,0,1,0,3.086045744372349,0,0,Henry,S,2019,0,1,1,0,1,0,0,33.94387435913086,1
325,75,0,0,0,1,0,0,0,1.5800000429153442,0,1,Placido,S,2019,1,1,0,1,0,0,0,19.526351928710938,1
326,47.5,0,0,0,0,1,0,0,3.086045744372349,0,0,Henry,S,2019,0,1,1,0,1,0,0,25.02943229675293,1
333,67.5,0,0,1,0,0,0,0,3.0299999713897705,0,1,Placido,S,2019,1,1,0,0,1,0,0,20.358657836914062,1
338,27.500000000000004,0,0,0,0,0,1,0,3.086045744372349,0,1,Placido,S,2019,1,1,1,0,1,0,0,20.525667190551758,1
339,55.00000000000001,0,0,1,0,0,0,0,2.7300000190734863,0,1,Green,S,2019,0,1,0,1,0,0,0,21.357973098754883,1
340,40,0,1,0,0,0,1,0,3.086045744372349,0,1,Placido,S,2019,1,1,1,0,1,0,0,20.03011703491211,1
341,45,0,1,0,1,0,0,0,2.509999990463257,0,1,Placido,S,2019,1,1,0,1,0,0,0,21.357973098754883,1
355,55.00000000000001,0,1,0,1,0,0,0,2.5,0,1,Placido,S,2019,1,1,0,1,0,0,0,18.776180267333984,1
359,77.5,0,0,0,0,0,1,0,3.086045744372349,0,0,Placido,S,2019,1,1,1,0,1,0,0,24.94455909729004,1
364,47.5,0,0,0,0,0,1,0,3.086045744372349,0,0,Placido,S,2019,1,1,1,0,1,0,0,23.195072174072266,1
371,57.49999999999999,0,0,0,0,0,1,0,1.8899999856948853,0,1,Placido,S,2019,1,1,0,1,0,0,0,20.11225128173828,1
381,67.5,0,1,0,0,1,0,0,3.5399999618530273,0,1,Green,S,2019,0,0,0,0,0,1,0,20.273784637451172,1
382,52.5,0,1,1,0,0,0,0,3.259999990463257,0,1,Placido,S,2019,1,1,0,0,1,0,0,20.525667190551758,1
384,35,0,0,0,0,0,1,0,3.086045744372349,0,1,Henry,S,2019,0,1,1,0,1,0,0,20.692676544189453,1
386,60,0,0,0,0,0,1,0,3,0,1,Placido,S,2019,1,1,0,1,0,0,0,21.60985565185547,1
388,62.5,0,1,0,0,0,1,0,3.299999952316284,0,1,Placido,S,2019,1,1,0,0,1,0,0,18.691307067871094,1
392,65,0,1,0,0,1,0,0,3.086045744372349,0,0,Placido,S,2019,1,1,1,0,1,0,0,35.359344482421875,1
394,57.49999999999999,0,0,0,0,0,1,0,3.086045744372349,0,0,Placido,S,2019,1,1,1,0,1,0,0,20.358657836914062,1
396,62.5,0,0,1,0,0,0,0,2.130000114440918,0,1,Green,S,2019,0,1,0,1,0,0,0,19.444215774536133,1
402,55.00000000000001,0,0,0,0,0,1,0,3.086045744372349,0,1,Henry,S,2019,0,1,1,0,1,0,0,20.358657836914062,1
404,70,0,0,0,0,0,1,0,3.086045744372349,0,1,Placido,S,2019,1,1,1,0,1,0,0,21.442848205566406,1
406,45,0,0,0,0,0,1,0,3.2200000286102295,0,1,Green,S,2019,0,1,0,0,1,0,0,19.611225128173828,1
412,75,0,1,0,0,0,1,0,3.086045744372349,0,1,Placido,S,2019,1,1,1,0,1,0,0,19.526351928710938,1
414,42.5,0,0,1,0,0,0,0,3.086045744372349,0,1,Henry,S,2019,0,1,1,0,1,0,0,20.197124481201172,1
415,65,0,0,1,0,0,0,0,2.440000057220459,0,1,Placido,S,2019,1,1,0,1,0,0,0,20.11225128173828,1
418,50,0,1,0,0,1,0,0,2.6700000762939453,0,1,Placido,S,2019,1,1,0,1,0,0,0,19.863107681274414,1
421,57.49999999999999,0,1,1,0,0,0,0,2.0399999618530273,0,1,Placido,S,2019,1,1,0,1,0,0,0,20.61054039001465,1
424,52.5,0,0,0,1,0,0,0,2.7899999618530273,0,1,Placido,S,2019,1,1,0,1,0,0,0,21.273099899291992,1
425,45,0,0,0,1,0,0,0,1.9199999570846558,0,1,Placido,S,2019,1,1,0,1,0,0,0,19.863107681274414,1
426,40,0,1,0,0,0,1,0,3.0899999141693115,1,1,Placido,S,2019,1,1,0,0,1,0,0,41.357975006103516,1
428,70,0,0,0,0,0,1,0,3.086045744372349,0,0,Placido,S,2019,1,1,1,0,1,0,0,21.691991806030273,1
433,55.00000000000001,0,0,0,0,0,1,0,3.086045744372349,0,1,Henry,S,2019,0,1,1,0,1,0,0,20.777549743652344,1
443,57.49999999999999,0,0,0,0,1,0,0,1.809999942779541,0,1,Placido,S,2019,1,1,0,1,0,0,0,20.777549743652344,1
445,60,0,1,0,0,0,1,0,3.009999990463257,0,1,Placido,S,2019,1,1,0,1,0,0,0,20.525667190551758,1
